Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,
Honeysuckle Rose A Wing & A Prayer Perfumesfor women,for women,4.5,2,"['citrus', 'white floral', 'honey', 'rose', 'sweet', 'floral']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Honeysuckle-Rose-36328.html
LACE Perfume A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['fresh spicy', 'aromatic', 'citrus', 'floral', 'green', 'warm spicy', 'woody', 'lavender', 'amber']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/LACE-Perfume-36326.html
Lavender and Roses A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['rose', 'floral', 'lavender']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Lavender-and-Roses-36324.html
Lavender Fields A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['citrus', 'lavender', 'rose', 'fresh spicy', 'aromatic', 'floral', 'herbal']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Lavender-Fields-36329.html
Summer Afternoon A Wing & A Prayer Perfumesfor women and men,for women and men,5,1,"['fresh spicy', 'rose', 'aromatic', 'warm spicy', 'woody', 'fruity', 'sweet', 'floral', 'citrus', 'conifer']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Summer-Afternoon-36331.html
Tea Rose A Wing & A Prayer Perfumesfor women,for women,N/A,N/A,"['floral', 'amber', 'rose', 'tropical']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Tea-Rose-36330.html
Bella A Wing & A Prayer Perfumesfor women,for women,4,1,"['citrus', 'fresh spicy', 'aromatic', 'rose', 'floral', 'herbal']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Bella-37013.html
Bronte Perfume A Wing & A Prayer Perfumesfor women,for women,3,2,"['amber', 'musky', 'animalic', 'rose', 'citrus', 'tuberose', 'powdery', 'sweet', 'yellow floral', 'soft spicy']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Bronte-Perfume-37019.html
Caliente Perfume A Wing & A Prayer Perfumesfor women and men,for women and men,4,2,"['white floral', 'iris', 'vanilla', 'violet', 'aromatic', 'earthy', 'sweet', 'powdery', 'green', 'woody']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Caliente-Perfume-37015.html
Epione A Wing & A Prayer Perfumesfor women,for women,4,2,"['floral', 'white floral', 'amber', 'rose', 'citrus', 'tropical', 'vanilla', 'fresh', 'aromatic', 'lactonic']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Epione-37016.html
Gemini A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['citrus', 'fresh spicy', 'aromatic', 'woody', 'conifer', 'green']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Gemini-37017.html
